,rank,asin,product_title,product_price,product_star_rating,product_num_ratings,product_url,product_photo,rank_change_label,country,page
0,1,B073VKKNN9,Kaspersky | Premium - Total Security (Ultimate Security) | 1 Device | 1 Year | Email Delivery in 1 Hour,₹469.00,4.3,13324.0,https://www.amazon.in/dp/B073VKKNN9,"https://images-eu.ssl-images-amazon.com/images/I/71wvxMSor0L._AC_UL900_SR900,600_.jpg",,IN,1
1,2,B07PQZJ6Y8,"K7 Security K7, Total Security, 1 User, 1 Year, Email Delivery In 30 Min, No Cd",₹370.00,4.4,2291.0,https://www.amazon.in/dp/B07PQZJ6Y8,"https://images-eu.ssl-images-amazon.com/images/I/51HB079HbPS._AC_UL900_SR900,600_.jpg",,IN,1
2,3,B0D1KL34JM,Microsoft Office 2021 Professional - Lifetime Validity - Windows only - Email delivery in 2 Hours- no CD - Email Bind Key,"₹1,799.00",4.5,388.0,https://www.amazon.in/dp/B0D1KL34JM,"https://images-eu.ssl-images-amazon.com/images/I/51kuNOifu-L._AC_UL900_SR900,600_.jpg",,IN,1
3,4,B07B9YYLGG,"Bitdefender - 1 Device,1 Year - Mobile Security | Android| Latest Version | Email Delivery In 2 Hours- No Cd |",₹94.00,4.1,9630.0,https://www.amazon.in/dp/B07B9YYLGG,"https://images-eu.ssl-images-amazon.com/images/I/81lZybDFjpL._AC_UL900_SR900,600_.jpg",,IN,1
4,5,B073VLGMZ4,"McAfee Total Protection 2025 | 1 Device, 3 Years | Antivirus Internet Security Software | Scam Protection & Identity Monitori","₹1,699.00",4.4,5783.0,https://www.amazon.in/dp/B073VLGMZ4,"https://images-eu.ssl-images-amazon.com/images/I/51WS+IgtDKL._AC_UL900_SR900,600_.jpg",,IN,1
5,6,B073VLNGJW,"Bitdefender - 1 Computer,3 Years - Total Security | Windows | Latest Version | Email Delivery In 2 Hours- No Cd |",₹599.00,4.4,12973.0,https://www.amazon.in/dp/B073VLNGJW,"https://images-eu.ssl-images-amazon.com/images/I/81JA0Rnl38L._AC_UL900_SR900,600_.jpg",,IN,1
6,7,B0CMJBCHQR,Microsoft Office 2019 Professional - Lifetime Validity - Windows only - Email delivery in 2 Hours- no CD,"₹1,199.00",4.3,1080.0,https://www.amazon.in/dp/B0CMJBCHQR,"https://images-eu.ssl-images-amazon.com/images/I/317r8dRWUgL._AC_UL900_SR900,600_.jpg",,IN,1
7,8,B073VKKNND,"McAfee Total Protection 2025 | 1 Device, 1 Year | Antivirus Internet Security Software | Scam Protection & Identity Monitorin",₹745.00,4.1,7588.0,https://www.amazon.in/dp/B073VKKNND,"https://images-eu.ssl-images-amazon.com/images/I/61a8KDc+otL._AC_UL900_SR900,600_.jpg",,IN,1
8,9,B09J52ZMNV,Apple - App Store Code - For India - Delivered via Email,"₹5,000.00",3.6,279.0,https://www.amazon.in/dp/B09J52ZMNV,"https://images-eu.ssl-images-amazon.com/images/I/31uSyIDu8yL._AC_UL900_SR900,600_.jpg",,IN,1
9,10,B0F2F12QLT,"Bitdefender 1 User, 3 Years- Total Security | Windows Latest Version | (Single Activation Code)- [Email Delivery in 2 hours -",₹599.00,4.5,84.0,https://www.amazon.in/dp/B0F2F12QLT,"https://images-eu.ssl-images-amazon.com/images/I/81s2ZQrBiRL._AC_UL900_SR900,600_.jpg",,IN,1
10,11,B073VMC9S4,Kaspersky | Total Security (Plus) | 1 Device | 3 Years | Email Delivery in 1 Hour,₹999.00,4.4,8075.0,https://www.amazon.in/dp/B073VMC9S4,"https://images-eu.ssl-images-amazon.com/images/I/61qiv6rgc-L._AC_UL900_SR900,600_.jpg",,IN,1
11,12,B07C24N3MB,"K7 Security K7 Antivirus Premium- 1 User, 1 Year (Email Delivery In 2 Hours, No Cd)",₹225.00,4.2,4631.0,https://www.amazon.in/dp/B07C24N3MB,"https://images-eu.ssl-images-amazon.com/images/I/61oh9Mc4UIL._AC_UL900_SR900,600_.jpg",,IN,1
12,13,B073VJYGYW,"McAfee Antivirus 2024 | 1 Device, 1 Year | Antivirus Internet Security Software| Email Delivery",₹399.00,4.1,17965.0,https://www.amazon.in/dp/B073VJYGYW,"https://images-eu.ssl-images-amazon.com/images/I/616Ch24-LsL._AC_UL900_SR900,600_.jpg",,IN,1
13,14,B0DMNS2241,Quick Heal | Antivirus Pro | 1 user | 1 Year | AI Based Device Security for Laptop | Email and Browsing Protection| (Email De,₹454.00,4.2,239.0,https://www.amazon.in/dp/B0DMNS2241,"https://images-eu.ssl-images-amazon.com/images/I/61lIvRJCpIL._AC_UL900_SR900,600_.jpg",,IN,1
14,15,B07895T7B1,"McAfee Antivirus 2024 | 1 Device, 3 Year | Antivirus Internet Security Software | Email Delivery",₹750.00,4.2,16839.0,https://www.amazon.in/dp/B07895T7B1,"https://images-eu.ssl-images-amazon.com/images/I/61Qu9ZaC+sL._AC_UL900_SR900,600_.jpg",,IN,1
15,16,B0FK5X2L2L,"Win 11/10 Pro Lifetime Activation Retail License Product Key (1 Device, 32/64 Bit) | Permanent Activation | Reinstallation Su",₹899.00,4.2,18.0,https://www.amazon.in/dp/B0FK5X2L2L,"https://images-eu.ssl-images-amazon.com/images/I/61GnE-vZiDL._AC_UL900_SR900,600_.jpg",,IN,1
16,17,B08B1SL726,Kaspersky | Anti-Virus | 1 Device | 1 Year | Email Delivery in 1 Hour,₹301.00,4.2,4470.0,https://www.amazon.in/dp/B08B1SL726,"https://images-eu.ssl-images-amazon.com/images/I/61y-1+9ZdCL._AC_UL900_SR900,600_.jpg",,IN,1
17,18,B073VKKNN7,Quick Heal | Total Security Renewal Upgrade Gold pack | 1 User | 3 years | Email Delivery in 1 Hour - no CD| Existing Quick H,"₹1,869.00",4.4,8418.0,https://www.amazon.in/dp/B073VKKNN7,"https://images-eu.ssl-images-amazon.com/images/I/61KXWWZ1L-L._AC_UL900_SR900,600_.jpg",,IN,1
